Plate information 
Plate,Repeat,Barcode,Measurement date,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,
1,1,="",4/08/2020 6:56:18 p.m.,26.85,26.85,28.9,29,


No background information available.


Well,Calc3:Ratio,Calc1:Average within well,Calc2:Average within well,
A01,3.82889980536,41310,10789,
A02,3.87065305754,42852,11071,
A03,3.30939403655,41288,12476,
A04,3.56188820785,38935,10931,
A05,3.5407002776,39539,11167,
A06,3.97868217054,43113,10836,
A07,1.68920592194,31377,18575,
A08,1.66638620109,31688,19016,
A09,1.71269622693,31094,18155,
A10,1.72248338467,31878,18507,
A11,1.71573439776,31808,18539,
A12,1.70957348042,31304,18311,
B01,3.97076340011,44004,11082,
B02,4.02480477722,43810,10885,
B03,2.31023533807,37107,16062,
B04,2.37508929151,36574,15399,
B05,2.58552174517,37216,14394,
B06,4.01308463252,43245,10776,
B07,1.66429065376,31287,18799,
B08,1.68103719225,32091,19090,
B09,1.67863573774,31696,18882,
B10,1.6557623516,31938,19289,
B11,1.66995439601,31492,18858,
B12,1.64952400141,32748,19853,
C01,3.99085529855,44514,11154,
C02,3.83148114411,42062,10978,
C03,1.81842471472,32668,17965,
C04,1.84817468441,32502,17586,
C05,1.95728489014,31892,16294,
C06,3.02568045517,39352,13006,
C07,1.6810711784,31199,18559,
C08,1.69599517887,30957,18253,
C09,1.66970822281,31474,18850,
C10,1.67865047233,31097,18525,
C11,1.69331275153,30715,18139,
C12,1.66592238171,31336,18810,
D01,4.07851355127,43791,10737,
D02,2.86718463681,39117,13643,
D03,1.70465765186,31768,18636,
D04,1.70650293051,30572,17915,
D05,1.76417220782,31307,17746,
D06,1.89162359023,32203,17024,
D07,1.6877027904,31209,18492,
D08,1.67351598174,31519,18834,
D09,1.68913633895,31097,18410,
D10,1.66253128161,31224,18781,
D11,1.68583576933,31719,18815,
D12,1.65012013701,32278,19561,
E01,3.99052261034,44211,11079,
E02,1.94356071327,34333,17665,
E03,1.68112299465,31437,18700,
E04,1.71177467175,32332,18888,
E05,1.70733375421,32453,19008,
E06,1.73347570742,32468,18730,
E07,1.66384361351,31237,18774,
E08,1.69264752288,32184,19014,
E09,1.68323180507,31500,18714,
E10,1.67558778056,31429,18757,
E11,1.67531305903,31841,19006,
E12,1.64527870216,31642,19232,
F01,4.09115506624,43849,10718,
F02,1.77579444034,31238,17591,
F03,1.70969136803,31631,18501,
F04,1.69404351573,31455,18568,
F05,1.71851202542,31368,18253,
F06,1.67577866137,30345,18108,
F07,1.68207689003,31327,18624,
F08,1.69461841157,30576,18043,
F09,1.6925522742,31407,18556,
F10,1.69494159254,31631,18662,
F11,1.68761593017,30934,18330,
F12,1.67806458248,32635,19448,
G01,4.01648597796,44828,11161,
G02,1.70265060241,31797,18675,
G03,1.68725495462,31415,18619,
G04,1.7131949672,31862,18598,
G05,1.70737981671,31858,18659,
