Plate information 
Plate,Repeat,Barcode,Measurement date,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,
1,1,="",7/08/2020 3:55:41 p.m.,26.85,26.85,29.3,29.5,


No background information available.


Well,Calc3:Ratio,Calc1:Average within well,Calc2:Average within well,
A01,3.84134481801,41475,10797,
A02,3.22807736437,39389,12202,
A03,3.60955895273,41084,11382,
A04,3.92335236621,40540,10333,
A05,3.78014562245,42572,11262,
A06,3.90104920405,43130,11056,
A07,2.76839513326,38226,13808,
A08,3.69154979585,41589,11266,
A09,2.2530704375,33938,15063,
A10,2.28771952732,35041,15317,
A11,2.2190555307,34726,15649,
A12,2.21246515333,33333,15066,
B01,3.93598192431,41808,10622,
B02,3.091219706,38903,12585,
B03,2.81375358166,38298,13611,
B04,4.06883988495,42438,10430,
B05,3.15653907496,39583,12540,
B06,4.01978502806,42260,10513,
B07,2.11262147866,34347,16258,
B08,3.36395701747,41010,12191,
B09,1.96340679254,33588,17107,
B10,1.94840968777,33386,17135,
B11,1.95651142094,32977,16855,
B12,1.94310772604,33676,17331,
C01,4.00595570445,43048,10746,
C02,2.04991426938,32280,15747,
C03,2.3177985793,34913,15063,
C04,4.07448950244,42501,10431,
C05,2.25516427307,34389,15249,
C06,3.60798203179,41766,11576,
C07,1.98644027827,33694,16962,
C08,2.21168305379,34416,15561,
C09,1.95403989878,33205,16993,
C10,1.95027754813,33026,16934,
C11,1.96168326451,32305,16468,
C12,1.92289257684,32095,16691,
D01,4.03959725046,41725,10329,
D02,1.92864454748,32029,16607,
D03,2.12546910183,33982,15988,
D04,3.62488096269,41871,11551,
D05,1.97186761229,33364,16920,
D06,2.53260498464,37090,14645,
D07,1.93307940229,32988,17065,
D08,1.96492260609,33386,16991,
D09,1.9311283356,32638,16901,
D10,1.91361622756,32830,17156,
D11,1.92166327421,33043,17195,
D12,1.8979882601,33304,17547,
E01,4.02020672316,43173,10739,
E02,1.93254925022,32863,17005,
E03,2.0220735786,33253,16445,
E04,2.39194675541,35939,15025,
E05,1.96233576642,33605,17125,
E06,2.02900618165,34136,16824,
E07,1.90660003446,33192,17409,
E08,1.9322690992,33892,17540,
E09,1.93956430077,33120,17076,
E10,1.94335718087,32868,16913,
E11,1.91000174754,32789,17167,
E12,1.94141176471,33004,17000,
F01,4.08268101761,41725,10220,
F02,1.95466362311,30827,15771,
F03,1.97748233321,33020,16698,
F04,2.04458908693,33611,16439,
F05,1.92238202781,32346,16826,
F06,1.94192873336,33407,17203,
F07,1.933920962,33130,17131,
