"","RackNo","RackPos","Replicate_1","Replicate_2","mean","sd","CATNUM","mol weight Structure","Name","SecName","Class","Enzyme","Action","Selectivity","Description"
"1",4,"D06",104.084872722663,102.674515420053,103.379694071358,0.997273212571073,"C 5913",357.1597,"4-Chloromercuribenzoic acid","4-(Hydroxymercuri)benzoic acid","Biochemistry","Enzyme","Inhibitor",NA,"Carboxy- and aminopeptidase inhibitor"
"2",7,"G02",104.619219825769,102.081646946141,103.350433385955,1.79433499094002,"E 3520",274.18278,"Ebselen
","2-Phenyl-1,2-benzisoselenazol-3(2H)-one","Leukotriene","Enzyme","Inhibitor","
Lipoxygenases / glutathione S-transferase
","Antioxidant; inhibits mammalian lipoxygenases and glutathione S-transferase"
"3",11,"F10",102.129028720519,102.877684021603,102.503356371061,0.529379240167773,"N 7906",369.2483,"2-(alpha-Naphthoyl)ethyltrimethylammonium iodide","alpha-NETA","Cholinergic","Enzyme","Inhibitor","Choline Acetyltransferase","Selective, fluorescent inhibitor of choline acetyltransferase"
"4",6,"D06",101.085862463331,100.647191743877,100.866527103604,0.310187040434103,"D-027",331.84569,"R(-)-Propylnorapomorphine hydrochloride","R(-)-NPA hydrochloride","Dopamine",NA,"Agonist","D2","Highly potent and selective D2 dopamine receptor agonist"
"5",6,"E06",99.6837182012076,101.934081448076,100.808899824642,1.5912471119939,"D-029",364.24191,"R(-)-2,10,11-Trihydroxyaporphine hybrobromide","R(-)-2-Hydroxyapomorphine hydrobromide","Dopamine",NA,"Agonist","D2","D2 dopamine receptor agonist"
"6",12,"G08",100.954018282753,100.401649432304,100.677833857528,0.390583759868716,"P 2742",217.29442,"PD 404,182","6H-6-Imino-(2,3,4,5-tetrahydropyrimido)[1,2-c]-[1,3]benzothiazine","Biochemistry","Enzyme","Inhibitor","KDO-8-P synthase","KDO-8-P synthase inhibitor"
"7",14,"D09",100.646555299441,100.646926302886,100.646740801163,0.000262339051730348,"S 4063",348.26693,"SCH-202676 hydrobromide","N-(2,3-diphenyl-1,2,4-thiadiazol-5-(2H)-ylidene)methanamine hydrobromide","G protein",NA,"Modulator","GPCR","Allosteric agonist and antagonist of G protein coupled receptors (GPCRs)"
"8",4,"E11",100.144845900239,100.340560904621,100.24270340243,0.138391406778654,"C 9511",331.80206,"Z-L-Phe chloromethyl ketone","N-Carbobenzyloxy-L-phenylalanyl chloromethyl ketone; ZPCK","Biochemistry","Enzyme","Inhibitor","Chymotrypsin A-gamma","Bovine chymotrypsin A-gamma inhibitor"
"9",1,"H07",99.4755301106382,100.933249466662,100.20438978865,1.03076324171154,"A 4393",303.79151,"Apomorphine hydrochloride hemihydrate","10,11-Dihydroxyaporphine hydrochloride hemihydrate","Dopamine",NA,"Agonist",NA,"Non-selective dopamine receptor agonist"
"10",2,"G11",100.099267227819,99.7340183281728,99.9166427779956,0.258269973760414,"B 1552",317.18481,"Bromoenol lactone","BEL; E-6-(Bromoethylene)tetrahydro-3-(1-naphthyl)-2H-pyran-2-one","Lipid","Enzyme","Inhibitor","PLA2","Calcium-independent phospholipase A2 inhibitor; magnesium-dependent phosphatidate phosphohydrolase inhibitor"
"11",11,"H08",97.7665197664707,98.0510937273209,97.9088067468958,0.201224177466289,"N 5023",302.37364,"Nordihydroguaiaretic acid from Larrea divaricata (creosote bush)","NDGA","Leukotriene","Enzyme","Inhibitor","Lipoxygenase","Lipoxygenase inhibitor"
"12",15,"E05",98.5793267450587,97.2205739927827,97.8999503689207,0.960783285090248,"T 1132",296.5403,"Tetraethylthiuram disulfide","Disulfiram","Biochemistry","Enzyme","Inhibitor","Alcohol Dehydrogenase","Alcohol dehydrogenase inhibitor"
"13",5,"F11",96.2011542446282,98.8492517934091,97.5252030190187,1.87248773398642,"D 5814",303.79151,"Dihydrexidine hydrochloride","(±)-trans-10,11-Dihydroxy-5,6,6a,7,8,12b-hexahydrobenzo[a]phenanthridine hydrochloride","Dopamine",NA,"Agonist","D1","D1 dopamine receptor agonist"
"14",6,"A07",99.2109425139351,95.1968927349066,97.2039176244208,2.8383618187714,"D-042",374.28075,"R(-)-N-Allylnorapomorphine hydrobromide",NA,"Dopamine",NA,"Agonist",NA,"Dopamine receptor agonist"
"15",6,"F06",94.6510026258647,95.1824136384257,94.9167081321452,0.375764330579079,"D-030",392.29609,"R(-)-2,10,11-Trihydroxy-N-propylnoraporphine hydrobromide","R(-)-TNPA HBr; R(-)-2-OH-NPA hydrobromide","Dopamine",NA,"Agonist","D2","Potent and selective D2 dopamine receptor agonist"
"16",11,"E05",92.2853514696205,94.6636121452003,93.4744818074104,1.68168425113179,"Z 4626",367.92277,"ZM 39923 hydrochloride","3-(N-Benzyl-N-isopropyl)amino-1-(naphthalen-2-yl)propan-1-one hydrochloride","Phosphorylation","Enzyme","Inhibitor","JNK-3","Janus kinase 3 (JNK-3) inhibitor."
"17",12,"D06",93.5761053312107,91.0755357538172,92.3258205425139,1.76816970500368,"P 0453",244.24934,"Piceatannol","(E)-4-[2-(3,5-Dihydroxyphenyl)ethenyl]1,2-benzenediol","Phosphorylation","Enzyme","Inhibitor","Syk / Lck","Non-receptor kinase Syk and Lck inhibitor"
"18",5,"F04",91.9244699633392,90.4639449391049,91.1942074512221,1.0327471487287,"C-191",376.90842,"Capsazepine","N-[2-(4-Chlorophenyl)ethyl]-1,3,4,5-tetrahydro-
7,8-dihydroxy-2H-2-benzazepine-2-carbothioamide","Vanilloid",NA,"Agonist",NA,"Synthetic analog of capsaicin that acts as a specific vanilloid receptor antagonist"
"19",11,"G10",92.4944085554367,89.7716435114853,91.133026033461,1.92528562615571,"N 8403",175.1451,"6-Nitroso-1,2-benzopyrone",NA,"Transcription","Enzyme","Inhibitor","PARP","Poly(ADP-ribose) polymerase (PARP) ligand which preferentially destabilizes one of the two zinc-fingers inactivating the enzyme"
"20",3,"C04",92.0519756496783,88.546428236709,90.2992019431937,2.47879634748153,"B 5681",249.334,"Bay 11-7085","(E)-3-(4-t-Butylphenylsulfonyl)-2-propenenitrile","Cell Cycle",NA,"Inhibitor","IkB-alpha","Inhibits cytokine induced IkB (Inhibitor of NFkB) phosphorylation"
"21",16,"D06",89.4117601121872,87.7877759805742,88.5997680463807,1.14833019200291,"U 6756",464.65375,"U-73122","1-[6-[[(17beta)-3-Methoxyestra-1,3,5(10)-trien-17-yl]amino]hexyl]-1H-pyrrole-2,5-dione","Lipid","Enzyme","Inhibitor","PLC, A2","Phospholipase C and A2 inhibitor that inhibits the hydrolysis 
of PPI to IP3, leading to a decrease in cytosolic free Ca2+"
"22",7,"H04",89.8660894635737,86.9147486749252,88.3904190692494,2.08691308524585,"E-100",334.37529,"(-)-Eseroline fumarate",NA,"Cholinergic","Enzyme","Inhibitor","Cholinesterase","Metabolite of physostigmine (eserine); potent analgesic; cholinesterase inhibitor"
"23",10,"B11",80.8924521306564,81.2544519722594,81.0734520514579,0.255972542785903,"M 6760",318.24215,"Myricetin","Cannabiscetin","Phosphorylation","Enzyme","Inhibitor","Casein Kinase II","Casein Kinase II inhibitor"
"24",2,"B04",83.9163481800932,78.1962448302096,81.0562965051514,4.04472386779055,"A 8762",195.22001,"N-Acetyldopamine monohydrate",NA,"Dopamine",NA,"Precursor",NA,"Dopamine analog possessing antitumor activity"
"25",6,"D07",79.9108188372425,78.5273314086812,79.2190751229619,0.978273342422051,"D-047",291.78036,"(±)-SKF-38393 hydrochloride","(±)-1-Phenyl-2,3,4,5-tetrahydro-(1H)-3-benzazepine-7,8-diol hydrochloride","Dopamine",NA,"Antagonist","D1","D1 Dopamine receptor agonist"
"26",13,"H04",73.3690429402768,70.649227880515,72.0091354103959,1.92319967233085,"P 8765",164.29279,"Ammonium pyrrolidinedithiocarbamate","APDC","Nitric Oxide","Enzyme","Modulator","NOS","Prevents induction of nitric oxide synthase (NOS) by inhibiting translation of NOS mRNA"
"27",3,"H04",73.3213241160679,70.4744418780284,71.8978829970482,2.01304973575725,"B 7283",293.70912,"Benserazide hydrochloride","DL-Serine, 2-[(2,3,4-trihydroxyphenyl)methyl]hydrazide hydrochloride","Biochemistry","Enzyme","Inhibitor","Decarboxylase","Peripheral decarboxylase inhibitor"
"28",8,"H04",69.7112077054944,62.9123274212889,66.3117675633917,4.80753435343723,"H 2380",213.19172,"6-Hydroxy-DL-DOPA","2,5-Dihydroxy-DL-tyrosine","Adrenoceptor",NA,"Neurotoxin",NA,"Precursor of the catecholaminergic neurotoxin, 6-hydroxydopamine; converted to 6-hydroxydopamine by L-aromatic amino acid decarboxylase"
"29",15,"E03",64.3769476507622,68.1883820651144,66.2826648579383,2.69509112043617,"S-143",370.67639,"(±)-6-Chloro-PB hydrobromide","(±)-SKF-81297 hydrobromide","Dopamine",NA,"Agonist","D1","D1 dopamine receptor agonist"
"30",6,"B06",63.1732255926784,65.0099146426304,64.0915701176544,1.29873528215214,"D-002",260.13258,"6,7-ADTN hydrobromide","(±)-2-Amino-6,7-dihydroxy-1,2,3,4-tetrahydro-naphthalene hydrobromide","Dopamine",NA,"Agonist",NA,"Dopamine receptor agonist"
"31",2,"E10",62.388524947394,60.9382669370605,61.6633959422273,1.02548727357694,"A-255",365.90406,"A-77636 hydrochloride",NA,"Dopamine",NA,"Agonist","D1","Potent, orally active D1 dopamine receptor agonist"
"32",15,"D08",61.5523375564134,61.3507388690407,61.451538212727,0.142551798919539,"T 4376",351.85491,"N-p-Tosyl-L-phenylalanine chloromethyl ketone","TPCK","Biochemistry","Enzyme","Inhibitor","Chymotrypsin alpha","Blocks LPS- or cytokine-induced activation of nuclear factor kB (NFkB), which, blocks the induction of iNOS and COX-2 transcription; blocks activation of pp70s6k by all mitogens"
"33",4,"D11",53.941176182155,51.4500105815652,52.6955933818601,1.7615200892357,"C 9510",110.11352,"Pyrocatechol","1,2-Benzenediol; Catechol","Cell Cycle",NA,"Inhibitor",NA,"Carcinogen; causes DNA strand breakage"
"34",15,"C04",47.9622155455148,48.7297073020742,48.3459614237945,0.542698625567938,"S-168",376.29669,"(±)-SKF 38393, N-allyl-, hydrobromide","(±)-7,8-Dihydroxy-3-allyl-1-phenyl-2,3,4,5-tetrahydro-1H-3-benzazepine hydrobromide","Dopamine",NA,"Agonist","D1","D1 dopamine receptor agonist."
"35",8,"D11",49.4703810300561,46.3605603193784,47.9154706747172,2.19897531279462,"I 1656",497.50639,"Idarubicin","Idamycin","DNA Metabolism",NA,"Inhibitor",NA,"Antineoplastic"
"36",9,"E10",48.0888090510176,42.140084266838,45.1144466589278,4.20638363430586,"L 8397",337.4203,"L-Leucinethiol, oxidized dihydrochloride","Dithiobis(2-amino-4-methylpentane)","Biochemistry","Enzyme","Inhibitor","Aminopeptidase","Peptide inhibitor of aminopeptidases"
"37",14,"G09",46.2081974175754,43.3416933986481,44.7749454081117,2.02692443008198,"S 5890",367.79188,"Sanguinarine chloride","13-Methyl-[1,3]benzodioxolo[5,6-c]-1,3-dioxolo[4,5-i] phenanthridinium chloride","Ion Pump",NA,"Inhibitor","Na+/K+ ATPase","Inhibitor of Mg2+ and Na+/K+-ATPase; isolated from the leaves and stems of Macleaya cordata and microcarpa"
"38",6,"B05",41.6949505704478,44.434118954492,43.0645347624699,1.93688453916951,"D 9128",168.15056,"3,4-Dihydroxyphenylacetic acid","DOPAC","Dopamine",NA,"Metabolite",NA,"Product of dopamine degradation by MAO and aldehyde dehydrogenase"
"39",11,"B08",44.1295203509182,41.7146088337053,42.9220645923117,1.70760030978675,"N 4148",336.32562,"S-Nitrosoglutathione","GSNO","Nitric Oxide",NA,"Donor",NA,"Nitric oxide donor in vivo"
"40",14,"G08",43.2619854871721,42.3714811209452,42.8167333040586,0.629681676035224,"S 3066",328.23003,"SKF 89626","4-(3,4-dihydroxyphenyl)-4,5,6,7-tetrahydrothieno[2,3-c]pyridine","Dopamine",NA,"Agonist","D1","D1 dopamine receptor agonist"
"41",8,"H05",46.2693819981622,38.93966564377,42.6045238209661,5.18289213836466,"H 5257",246.22165,"Hispidin","6-(3,4-dihydroxystyrl)-4-hydroxy-2-pyrone","Phosphorylation","Enzyme","Inhibitor","PKC-beta","Potent protein kinase C-beta inhibitor"
"42",9,"G10",48.0923978298547,34.9287916701248,41.5105947499897,9.30807518041402,"L 8533",369.36808,"Lansoprazole",NA,"Ion Pump",NA,"Inhibitor","H+ pump","Gastric proton pump inhibitor"
"43",7,"A11",35.2116297638346,37.2187571536376,36.2151934587361,1.41925338803492,"G 4788",398.18656,"Guanidinoethyl disulfide dihydrobromide","GED dihydrobromide","Nitric Oxide","Enzyme","Inhibitor","iNOS","Selective competitive inhibitor of inducible nitric oxide synthetase (iNOS)"
"44",8,"C06",39.5315238672498,31.9093269574366,35.7204254123432,5.38970712246806,"H 6892",206.268,"1-(4-Hydroxybenzyl)imidazole-2-thiol",NA,"Dopamine","Enzyme","Inhibitor","Dopamine beta-hydroxylase","Dopamine beta-hydroxylase inhibitor"
"45",6,"A04",36.4816205557054,34.5683469932413,35.5249837744734,1.35288871028329,"D 8065",168.15341,"Dephostatin","2-(N-methyl-N-nitroso)hydroquinone","Phosphorylation","Enzyme","Inhibitor","CD45 Tyrosine Kinase","CD45 protein tyrosine kinase inhibitor"
"46",11,"A07",34.0520508090654,33.9520556172003,34.0020532131329,0.0707072782539108,"N 1771",734.72715,"nor-Binaltorphimine dihydrochloride","nor-BNI dihydrochloride","Opioid",NA,"Antagonist","kappa","Highly selective kappa opioid receptor antagonist"
"47",13,"B08",33.8938410697061,33.4316044077989,33.6627227387525,0.326850678147588,"P-119",480.44973,"(±)-Pindobind","N8-Bromoacetyl-N1-3'-(4-indolyloxy)-2'-hydroxy-propyl-[Z]-1,8-diamino-p-methane","Adrenoceptors",NA,"Ligand","beta","Analog of pinolol which contains a bromo-acetyl group capable of alkylation of beta-adrenoceptors"
