Plate information 
Plate,Repeat,Barcode,Measurement date,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,
1,1,="",31/07/2020 4:01:57 p.m.,26.8,26.85,29,29.1,


No background information available.


Well,Calc3:Ratio,Calc1:Average within well,Calc2:Average within well,
A01,3.91634096408,42085,10746,
A02,1.79432584583,32192,17941,
A03,1.82244782854,32312,17730,
A04,1.83262723832,32443,17703,
A05,1.8321969697,33859,18480,
A06,1.77903793508,31843,17899,
A07,1.81064825128,32512,17956,
A08,1.80860956132,33065,18282,
A09,1.81166042722,32907,18164,
A10,1.82171736619,33117,18179,
A11,1.76263163493,33141,18802,
A12,1.72132563286,31891,18527,
B01,4.05186837702,43590,10758,
B02,1.78292305994,32303,18118,
B03,1.80332440265,32981,18289,
B04,1.83108219858,33214,18139,
B05,1.8332408127,33024,18014,
B06,1.82585722935,33174,18169,
B07,1.78613959643,32397,18138,
B08,1.80598413048,32775,18148,
B09,1.77301951138,31714,17887,
B10,1.75318559557,31645,18050,
B11,3.55085470085,41545,11700,
B12,1.70004962779,34256,20150,
C01,3.97071742313,43392,10928,
C02,1.81079990779,31421,17352,
C03,1.77074736359,30896,17448,
C04,1.80490033697,31602,17509,
C05,1.89683290002,32102,16924,
C06,1.79798097006,30990,17236,
C07,1.77836146194,31822,17894,
C08,1.81836677027,32176,17695,
C09,1.8091341369,32720,18086,
C10,1.86568115942,32183,17250,
C11,1.73240199264,31994,18468,
C12,1.70220273738,31838,18704,
D01,4.00604763677,43057,10748,
D02,1.8088185223,31875,17622,
D03,1.77689753597,30504,17167,
D04,1.80818673884,32070,17736,
D05,1.80061003163,31878,17704,
D06,1.78462588128,31388,17588,
D07,1.77186161821,31447,17748,
D08,1.81233183857,32332,17840,
D09,1.74992983441,31175,17815,
D10,1.76873942239,32398,18317,
D11,1.71692021451,31375,18274,
D12,1.7069559927,33668,19724,
E01,3.92215251392,44387,11317,
E02,1.75492989218,31415,17901,
E03,1.75964115111,30206,17166,
E04,1.79134860051,32384,18078,
E05,1.78331045841,32483,18215,
E06,1.98879778265,34442,17318,
E07,1.77306635257,31612,17829,
E08,1.7509079734,31336,17897,
E09,1.76480107137,31627,17921,
E10,1.7713214111,32587,18397,
E11,1.84611168959,33686,18247,
E12,1.68007444938,32496,19342,
F01,3.9718910536,40978,10317,
F02,1.74647380109,29098,16661,
F03,1.90120868278,30830,16216,
F04,1.78749241044,32384,18117,
F05,1.74426035503,29478,16900,
F06,1.74636619718,30998,17750,
F07,1.81118679289,31377,17324,
F08,1.75160327289,31683,18088,
F09,1.72375752173,30938,17948,
F10,1.72026809651,32083,18650,
F11,1.71987497305,31914,18556,
F12,1.65507170795,31736,19175,
G01,3.96402335656,42090,10618,
G02,1.69247041336,29603,17491,
G03,1.71344247689,30770,17958,
G04,1.72779159132,30575,17696,
G05,1.74135788522,30829,17704,
G06,1.71965026342,30682,17842,
G07,1.72727771078,31509,18242,
G08,1.71349699828,31967,18656,
G09,1.70196579298,30649,18008,
G10,1.70252848013,30637,17995,
G11,1.69769738552,32662,19239,
G12,1.66464517502,31292,18798,
H01,4.05344827586,39967,9860.0,
H02,1.69604589684,30154,17779,
H03,1.64556124979,29862,18147,
H04,1.70542465753,31124,18250,
H05,1.69611495476,31870,18790,
H06,1.67553191489,31500,18800,
H07,1.66090078329,30534,18384,
H08,1.68862275449,31584,18704,
H09,1.70778423051,30583,17908,
H10,1.93601729578,33133,17114,
H11,1.64162457912,31204,19008,
H12,1.62365084355,30989,19086,

Basic assay information 
Assay ID: ,,,,831
Assay Started: ,,,,31/07/2020 4:00:50 p.m.
Assay Finished: ,,,,31/07/2020 4:02:04 p.m.
Assay Exported: ,,,,31/07/2020 4:02:20 p.m.
Assay Started By: ,,,,N/A
Protocol ID: ,,,,100132
Protocol Name: ,,,,Mark eCFP-Venus
Serial#: ,,,,="23000214"



Protocol information
Protocol:
Protocol name,,,,Mark eCFP-Venus
Number of assay repeats,,,,1
Start assay repeat each,,,,N/A
Number of plate repeats,,,,1
Start plate repeat each,,,,N/A
Mode of measurement,,,,By Rows  bi-directional
Rotated plate,,,,No
Soft move,,,,No
Protocol notes,,,,Imported from instrument Jimmy SerialNumber: 23000214Imported from instrument EnSpire SerialNumber: 23000214Imported from instrument EnSpire SerialNumber: 23000214

Plate type:
Name of the plate type,,,,96 General
Number of rows,,,,8
Number of columns,,,,12
Number of the wells in the plate,,,,96
Height of the plate,,,,14.35 mm
Diameter of the well,,,,6.5 mm
Volume of the well,,,,300 µl

Coordinates of corners:
96 General
14.38 mm x------------------------------------------------------ x 113.38 mm
11.24 mm                                                           11.24 mm

14.38 mm x------------------------------------------------------ x 113.38 mm
74.24 mm                                                           74.24 mm

Platemap:
Plate,,,,1

,01,02,03,04,05,06,07,08,09,10,11,12,
A,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
B,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
C,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
D,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
E,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
F,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
G,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
H,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 

 - - Undefined

Calculations:
Plate,,,,1
 Formula index,,,,Calc 1
 Formula name,,,,Average within well
 Formula,,,,Average within well where Measurement: A

 Formula index,,,,Calc 2
 Formula name,,,,Average within well
 Formula,,,,Average within well where Measurement: B

 Formula index,,,,Calc 3
 Formula name,,,,Ratio
 Formula,,,,Ratio where X = Calc 1: Average within well Y = Calc 2: Average within well

Auto export parameters:
Export format,,,,ListC
Picture,,,,No
Add plate number to the file name,,,,Yes
Each plate to separate file,,,,No
Field separator to use,,,,System
File name format,,,,D:\mark\200730-FRET\SARS-CoV-2_2_10.csv
Exported data,,,,Well Calc3:Ratio Calc1:Average within well Calc2:Average within well

Operations:
Plate 1
  Scan measurement
    Meas,,,,A
    Tech,,,,Fluorescence
    Number of horizontal points (X),,,,1
    Number of vertical points (Y),,,,1
    Distance between points,,,,0.72 mm
    Scan mode,,,,Rectangle
  Scan measurement
    Meas,,,,B
    Tech,,,,Fluorescence
    Number of horizontal points (X),,,,1
    Number of vertical points (Y),,,,1
    Distance between points,,,,0.72 mm
    Scan mode,,,,Rectangle

Measurements:
Meas ,,,,A
Exc. filter,,,,N/A
Using of excitation filter,,,,Top
Excitation wavelength,,,,434 nm
Emission wavelength,,,,528 nm
Measurement height,,,,7.5 mm
Number of flashes,,,,40
Number of flashes integrated,,,,40
Flash power,,,,100 %
Excitation light,,,,100%
Reference excitation light,,,,100%
