Plate information 
Plate,Repeat,Barcode,Measurement date,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,
1,1,="",30/07/2020 4:46:15 p.m.,27.35,27.4,29.9,30,


No background information available.


Well,Calc3:Ratio,Calc1:Average within well,Calc2:Average within well,
A01,3.99252443933,41658,10434,
A02,3.97255621845,43281,10895,
A03,4.08971574275,43306,10589,
A04,4.031303358,42498,10542,
A05,4.05057449614,43009,10618,
A06,4.09183175564,41929,10247,
A07,4.04844036697,44128,10900,
A08,3.92773182412,45110,11485,
A09,3.99180938198,42888,10744,
A10,4.0554701019,42185,10402,
A11,3.48825503356,43659,12516,
A12,4.05176405223,43755,10799,
B01,4.02273812936,42106,10467,
B02,4.08791106129,43757,10704,
B03,3.96666360547,43193,10889,
B04,4.11936025274,41725,10129,
B05,4.14377682403,42482,10252,
B06,4.06928471248,43521,10695,
B07,4.1092576334,42124,10251,
B08,4.06550509378,42700,10503,
B09,4.08713253012,42404,10375,
B10,4.14336457819,41993,10135,
B11,4.10915325269,43142,10499,
B12,4.02475790243,44055,10946,
C01,4.01868377022,43233,10758,
C02,4.09053180195,42382,10361,
C03,4.09114458409,42642,10423,
C04,4.0972629521,41915,10230,
C05,4.18572864322,41648,9950.0,
C06,4.04398015646,42389,10482,
C07,4.08088803089,42278,10360,
C08,4.14982681841,41934,10105,
C09,4.16285263366,42203,10138,
C10,4.07777019784,41842,10261,
C11,4.08240061752,42310,10364,
C12,4.07426878226,42625,10462,
D01,4.09054619803,42014,10271,
D02,4.09006358546,43097,10537,
D03,4.14056302602,42801,10337,
D04,4.04304574191,43487,10756,
D05,4.11563294854,42070,10222,
D06,4.11236917222,43221,10510,
D07,4.136394134,43155,10433,
D08,4.02427549868,42770,10628,
D09,4.04417095974,42391,10482,
D10,4.00630944533,42543,10619,
D11,4.02027402333,43427,10802,
D12,4.00292994762,45085,11263,
E01,4.02594720776,44841,11138,
E02,4.08713850837,42964,10512,
E03,4.04319470699,42777,10580,
E04,4.09328922495,43307,10580,
E05,4.07829762705,42451,10409,
E06,4.07406015038,43348,10640,
E07,4.10090944272,42387,10336,
E08,4.02528756619,44093,10954,
E09,4.05418999715,42719,10537,
E10,4.14389382221,43399,10473,
E11,4.12310221449,42637,10341,
E12,4.06376891842,44035,10836,
F01,4.13105835806,41765,10110,
F02,4.06406630912,41677,10255,
F03,4.0754144955,43016,10555,
F04,4.13731170336,42846,10356,
F05,4.16835760924,41496,9955.0,
F06,4.11112201826,41880,10187,
F07,4.16883116883,42051,10087,
F08,4.11546026751,41846,10168,
F09,4.17400254877,42579,10201,
F10,4.06836032192,41957,10313,
F11,4.16087082169,43194,10381,
