Plate information 
Plate,Repeat,Barcode,Measurement date,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,
1,1,="",30/07/2020 4:39:28 p.m.,27.35,27.35,29.8,29.9,


No background information available.


Well,Calc3:Ratio,Calc1:Average within well,Calc2:Average within well,
A01,4.24562908935,39582,9323.0,
A02,4.24018379282,40604,9576.0,
A03,4.26695888124,40886,9582.0,
A04,4.36645962733,37962,8694.0,
A05,4.21723000824,40924,9704.0,
A06,4.21093020844,40606,9643.0,
A07,4.26606574761,40229,9430.0,
A08,4.28778731067,40481,9441.0,
A09,4.27592572483,39377,9209.0,
A10,4.24984193888,40331,9490.0,
A11,4.30747094632,38918,9035.0,
A12,4.26034978968,38488,9034.0,
B01,4.13879846108,41955,10137,
B02,4.22287449393,41722,9880.0,
B03,4.22531052739,41501,9822.0,
B04,4.23782829856,40823,9633.0,
B05,4.19460481784,42139,10046,
B06,4.19630415026,41556,9903.0,
B07,4.25369235406,42337,9953.0,
B08,4.22688312998,41918,9917.0,
B09,4.21502150215,42146,9999.0,
B10,4.21933534743,41898,9930.0,
B11,4.31400966184,41078,9522.0,
B12,4.2727940405,40724,9531.0,
C01,4.14999056069,43965,10594,
C02,4.37162683115,39690,9079.0,
C03,4.2659498935,42058,9859.0,
C04,4.31619970508,40978,9494.0,
C05,4.1976,41976,10000,
C06,4.18801611279,41587,9930.0,
C07,4.31153602366,40813,9466.0,
C08,4.33612903226,40326,9300.0,
C09,4.30529990479,40698,9453.0,
C10,4.25092484938,40218,9461.0,
C11,4.29314495029,41021,9555.0,
C12,4.21678535097,41451,9830.0,
D01,4.19375314861,41623,9925.0,
D02,4.21869158879,40626,9630.0,
D03,4.24531394039,41447,9763.0,
D04,4.19697588884,41080,9788.0,
D05,4.23131995563,41962,9917.0,
D06,4.22709163347,41379,9789.0,
D07,4.28702434911,40671,9487.0,
D08,4.26394502829,42196,9896.0,
D09,4.32582837723,40732,9416.0,
D10,4.20810592278,41635,9894.0,
D11,4.17873528825,41896,10026,
D12,4.17055276382,41497,9950.0,
E01,4.18305627879,41772,9986.0,
E02,4.23105753647,41769,9872.0,
E03,4.29570472696,39804,9266.0,
E04,4.30688622754,40278,9352.0,
E05,4.22877652934,40647,9612.0,
E06,4.23410526316,40224,9500.0,
E07,4.20867768595,40740,9680.0,
E08,4.26281181505,40842,9581.0,
E09,4.26880811496,40400,9464.0,
E10,4.37220208911,41020,9382.0,
E11,4.30679717238,39601,9195.0,
E12,4.26004604437,40709,9556.0,
F01,4.18518134715,40387,9650.0,
F02,4.29544969024,40214,9362.0,
F03,4.20757363254,42000,9982.0,
