Plate information 
Plate,Repeat,Barcode,Measurement date,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,
1,1,="",31/07/2020 4:32:30 p.m.,27,27.05,29.3,29.4,


No background information available.


Well,Calc3:Ratio,Calc1:Average within well,Calc2:Average within well,
A01,3.92871766239,42218,10746,
A02,4.09233662435,43522,10635,
A03,4.00795228628,44352,11066,
A04,4.11224876754,43376,10548,
A05,4.04711316397,43810,10825,
A06,4.0664283026,43218,10628,
A07,4.05726179463,43859,10810,
A08,4.02634028295,43259,10744,
A09,3.99443125799,43755,10954,
A10,4.04585635359,43938,10860,
A11,4.01498465427,44478,11078,
A12,4.00127632419,43890,10969,
B01,3.99511966213,42568,10655,
B02,4.10018498686,42113,10271,
B03,4.07966181306,43428,10645,
B04,4.23170238577,41860,9892.0,
B05,4.03622032467,43014,10657,
B06,4.18120011824,42435,10149,
B07,4.17874015748,42456,10160,
B08,4.01172964138,41726,10401,
B09,4.08257843044,42814,10487,
B10,4.16639741519,43843,10523,
B11,4.2111355019,42204,10022,
B12,4.04951986443,43014,10622,
C01,4.0311765769,44609,11066,
C02,4.11999238748,43297,10509,
C03,4.20923666431,41743,9917.0,
C04,4.10204276441,42973,10476,
C05,4.1155317521,43032,10456,
C06,4.15164328272,43202,10406,
C07,4.07590759076,43225,10605,
C08,4.16553815058,41218,9895.0,
C09,4.11029341489,43006,10463,
C10,4.16026213881,41898,10071,
C11,4.11763027767,43301,10516,
C12,4.05624483044,44136,10881,
D01,4.10457119741,40586,9888.0,
D02,4.08743658609,41091,10053,
D03,4.05679797885,43355,10687,
D04,4.03239863585,42566,10556,
D05,4.10749403341,43026,10475,
D06,4.09390647142,43334,10585,
D07,4.09871455206,41770,10191,
D08,4.09576774437,43452,10609,
D09,4.10385164051,43152,10515,
D10,4.11193887297,43052,10470,
D11,4.0951130288,43658,10661,
D12,4.03960488305,43349,10731,
E01,4.06031502113,42276,10412,
E02,4.09054646988,41020,10028,
E03,4.11369483475,41573,10106,
E04,4.1531811559,42757,10295,
E05,4.03765690377,41495,10277,
E06,4.11739840523,42858,10409,
E07,4.06004021833,42399,10443,
E08,4.11869407957,43271,10506,
E09,4.09113184431,43411,10611,
E10,4.11653065098,43380,10538,
E11,4.0685483871,43387,10664,
E12,3.96492035724,43063,10861,
F01,4.07509228677,41949,10294,
F02,4.12729255477,41632,10087,
F03,4.05867396832,41504,10226,
F04,4.11267877851,42558,10348,
F05,4.1130697312,42233,10268,
F06,4.05796684871,42353,10437,
F07,4.11703074034,41652,10117,
F08,4.09520561294,42025,10262,
F09,4.12952713856,42530,10299,
F10,4.14240837696,43516,10505,
F11,4.17219668199,41747,10006,
