Plate information 
Plate,Repeat,Barcode,Measurement date,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,
1,1,="",31/07/2020 4:30:43 p.m.,27,27,29.3,29.3,


No background information available.


Well,Calc3:Ratio,Calc1:Average within well,Calc2:Average within well,
A01,3.98309224122,42404,10646,
A02,3.99423113297,42235,10574,
A03,3.9856279751,43539,10924,
A04,4.05249569707,42381,10458,
A05,3.99223744292,43715,10950,
A06,4.09465948065,41786,10205,
A07,4.0260088856,43497,10804,
A08,4.07138733885,42318,10394,
A09,4.01513053797,40601,10112,
A10,4.04741017266,43368,10715,
A11,4.02085844072,43373,10787,
A12,4.06509165768,41468,10201,
B01,4.05959701069,42914,10571,
B02,4.05300450906,44044,10867,
B03,4.02034776175,43468,10812,
B04,4.11932606541,41564,10090,
B05,4.13616398243,42375,10245,
B06,4.09512850019,42704,10428,
B07,4.013674902,44026,10969,
B08,4.09015534166,42918,10493,
B09,4.14079102715,42087,10164,
B10,4.1023211748,43300,10555,
B11,4.091556857,41918,10245,
B12,4.0439910146,43206,10684,
C01,4.09965863835,43235,10546,
C02,4.07955411585,42819,10496,
C03,4.12578064012,42281,10248,
C04,4.13578105425,42917,10377,
C05,4.14650366748,42398,10225,
C06,4.18416801292,41440,9904.0,
C07,4.17448724362,41724,9995.0,
C08,4.11564294753,42280,10273,
C09,4.09516991218,42901,10476,
C10,4.11325439267,43074,10472,
C11,4.07104863222,42860,10528,
C12,4.00009079354,44057,11014,
D01,4.06740079742,42846,10534,
D02,4.09023138736,42248,10329,
D03,4.07112730061,42470,10432,
D04,4.08765170487,42438,10382,
D05,4.11745292176,42418,10302,
D06,4.06508467901,41285,10156,
D07,4.10351386525,40990,9989.0,
D08,4.09611209789,41510,10134,
D09,4.17486818981,42759,10242,
D10,4.09616677875,42637,10409,
D11,4.03159992408,42485,10538,
D12,4.06199385646,43638,10743,
E01,4.06136877828,43083,10608,
E02,4.14957221943,41226,9935.0,
E03,4.09377713459,42432,10365,
E04,4.12156141031,42551,10324,
E05,4.1037087247,42379,10327,
E06,4.13846307985,41306,9981.0,
E07,4.16837199878,41146,9871.0,
E08,4.15023752969,41934,10104,
E09,4.07255104921,43279,10627,
E10,4.07973421927,42980,10535,
E11,4.07293291732,41772,10256,
E12,4.02319539803,43362,10778,
F01,4.00367058824,42539,10625,
F02,4.17626404494,41629,9968.0,
F03,4.06371376638,42478,10453,
F04,4.0408027392,42485,10514,
F05,4.07713980375,41966,10293,
F06,4.13656517884,41982,10149,
F07,4.07616051854,42763,10491,
F08,4.16142009454,41377,9943.0,
F09,4.13418406806,42764,10344,
F10,4.20464155768,42757,10169,
F11,4.16861435726,42449,10183,
F12,4.01271420674,43554,10854,
G01,4.05796818581,41582,10247,
G02,4.09586078065,41659,10171,
G03,4.09566326531,41743,10192,
G04,4.0918542541,42899,10484,
G05,4.1482569526,42362,10212,
G06,4.13254698121,41342,10004,
G07,4.15673134627,41559,9998.0,
G08,4.09324942792,42930,10488,
G09,4.08713175319,42592,10421,
G10,4.0441936101,42278,10454,
G11,4.09723995678,41714,10181,
G12,4.05197202254,41711,10294,
H01,4.13792013486,39273,9491.0,
H02,4.11262832652,41262,10033,
H03,4.09629198214,42200,10302,
H04,4.18333507144,40114,9589.0,
H05,4.05793844651,41533,10235,
H06,4.06713053704,41501,10204,
H07,4.11964873765,41283,10021,
H08,4.08059558117,42479,10410,
H09,4.03267345762,41964,10406,
H10,4.06339701549,42751,10521,
H11,4.0780155642,41922,10280,
H12,4.0159901599,42445,10569,

Basic assay information 
Assay ID: ,,,,846
Assay Started: ,,,,31/07/2020 4:29:36 p.m.
Assay Finished: ,,,,31/07/2020 4:30:50 p.m.
Assay Exported: ,,,,31/07/2020 4:31:04 p.m.
Assay Started By: ,,,,N/A
Protocol ID: ,,,,100132
Protocol Name: ,,,,Mark eCFP-Venus
Serial#: ,,,,="23000214"



Protocol information
Protocol:
Protocol name,,,,Mark eCFP-Venus
Number of assay repeats,,,,1
Start assay repeat each,,,,N/A
Number of plate repeats,,,,1
Start plate repeat each,,,,N/A
Mode of measurement,,,,By Rows  bi-directional
Rotated plate,,,,No
Soft move,,,,No
Protocol notes,,,,Imported from instrument Jimmy SerialNumber: 23000214Imported from instrument EnSpire SerialNumber: 23000214Imported from instrument EnSpire SerialNumber: 23000214

Plate type:
Name of the plate type,,,,96 General
Number of rows,,,,8
Number of columns,,,,12
Number of the wells in the plate,,,,96
Height of the plate,,,,14.35 mm
Diameter of the well,,,,6.5 mm
Volume of the well,,,,300 µl

Coordinates of corners:
96 General
14.38 mm x------------------------------------------------------ x 113.38 mm
11.24 mm                                                           11.24 mm

14.38 mm x------------------------------------------------------ x 113.38 mm
74.24 mm                                                           74.24 mm

Platemap:
Plate,,,,1

,01,02,03,04,05,06,07,08,09,10,11,12,
A,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
B,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
C,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
D,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
E,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
F,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
G,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
H,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 

 - - Undefined

Calculations:
Plate,,,,1
 Formula index,,,,Calc 1
 Formula name,,,,Average within well
 Formula,,,,Average within well where Measurement: A

 Formula index,,,,Calc 2
 Formula name,,,,Average within well
 Formula,,,,Average within well where Measurement: B

 Formula index,,,,Calc 3
 Formula name,,,,Ratio
 Formula,,,,Ratio where X = Calc 1: Average within well Y = Calc 2: Average within well

Auto export parameters:
Export format,,,,ListC
Picture,,,,No
Add plate number to the file name,,,,Yes
Each plate to separate file,,,,No
Field separator to use,,,,System
File name format,,,,D:\mark\200730-FRET\DMSO_2_11.csv
Exported data,,,,Well Calc3:Ratio Calc1:Average within well Calc2:Average within well

Operations:
Plate 1
  Scan measurement
    Meas,,,,A
    Tech,,,,Fluorescence
    Number of horizontal points (X),,,,1
    Number of vertical points (Y),,,,1
    Distance between points,,,,0.72 mm
    Scan mode,,,,Rectangle
  Scan measurement
    Meas,,,,B
    Tech,,,,Fluorescence
    Number of horizontal points (X),,,,1
    Number of vertical points (Y),,,,1
    Distance between points,,,,0.72 mm
    Scan mode,,,,Rectangle

Measurements:
Meas ,,,,A
Exc. filter,,,,N/A
Using of excitation filter,,,,Top
Excitation wavelength,,,,434 nm
Emission wavelength,,,,528 nm
Measurement height,,,,7.5 mm
Number of flashes,,,,40
Number of flashes integrated,,,,40
Flash power,,,,100 %
Excitation light,,,,100%
Reference excitation light,,,,100%
Emission light,,,,100%
Reference AD gain,,,,2
Reference signal,,,,3015292
Last edited,,,,8/07/2020 8:57:00 a.m.
Last edited by,,,,EnSpire
Factory preset,,,,No

Meas ,,,,B
Exc. filter,,,,N/A
Using of excitation filter,,,,Top
Excitation wavelength,,,,434 nm
Emission wavelength,,,,477 nm
Measurement height,,,,7.5 mm
Number of flashes,,,,40
Number of flashes integrated,,,,40
Flash power,,,,100 %
Excitation light,,,,100%
Reference excitation light,,,,100%
Emission light,,,,100%
Reference AD gain,,,,2
Reference signal,,,,3021957
Last edited,,,,8/07/2020 8:57:00 a.m.
Last edited by,,,,EnSpire
Factory preset,,,,No

Filters:
Monochromator cutoff 230,,,,140
Filter polarization,,,,None
Description,,,,X230co Longpass=230nm  Tmin=90%
Used with
Last edited,,,,1/01/2011
Last edited by,,,,Installation
Factory preset,,,,Yes

Monochromator cutoff 360,,,,141
Filter polarization,,,,None
Description,,,,X360co Longpass=360nm  Tmin=90%
Used with
Last edited,,,,1/01/2011
Last edited by,,,,Installation
Factory preset,,,,Yes

Monochromator cutoff 585,,,,142
Filter polarization,,,,None
Description,,,,X585co Longpass=585nm  Tmin=75%
Used with
Last edited,,,,1/01/2011
Last edited by,,,,Installation
Factory preset,,,,Yes

Instrument:
Serial number,,,,23000214
Nickname,,,,ZEnSpire






Exported with EnSpire Workstation version 4.10.3005.1440
