Plate information 
Plate,Repeat,Barcode,Measurement date,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,
1,1,="",28/08/2020 4:01:30 p.m.,30.2,30.2,30.6,30.6,
1,2,="",28/08/2020 4:31:30 p.m.,30.25,30.25,30.4,30.4,
1,3,="",28/08/2020 5:01:29 p.m.,30.3,30.25,30.2,30.2,
1,4,="",28/08/2020 5:31:29 p.m.,30.2,30.2,30.1,30.1,
1,5,="",28/08/2020 6:01:29 p.m.,30.2,30.2,29.9,29.9,
1,6,="",28/08/2020 6:31:28 p.m.,30.1,30.1,29.7,29.6,
1,7,="",28/08/2020 7:01:28 p.m.,30.05,30.05,29.5,29.5,
1,8,="",28/08/2020 7:31:27 p.m.,30.05,30.05,29.5,29.5,
1,9,="",28/08/2020 8:01:27 p.m.,30.05,30.05,29.5,29.6,
1,10,="",28/08/2020 8:31:26 p.m.,30.05,30.05,29.3,29.3,
1,11,="",28/08/2020 9:01:26 p.m.,30.05,30.05,29.2,29.2,
1,12,="",28/08/2020 9:31:25 p.m.,30,30,29.3,29.3,
1,13,="",28/08/2020 10:01:25 p.m.,30,30,29.1,29.1,
1,14,="",28/08/2020 10:31:25 p.m.,29.95,29.95,28.9,28.9,
1,15,="",28/08/2020 11:01:24 p.m.,29.9,29.9,28.9,28.9,
1,16,="",28/08/2020 11:31:24 p.m.,29.9,29.9,28.8,28.8,
1,17,="",29/08/2020 12:01:23 a.m.,29.9,29.9,28.7,28.7,
1,18,="",29/08/2020 12:31:23 a.m.,29.9,29.9,28.6,28.6,
1,19,="",29/08/2020 1:01:22 a.m.,29.9,29.85,28.6,28.6,
1,20,="",29/08/2020 1:31:22 a.m.,29.9,29.9,28.6,28.6,
1,21,="",29/08/2020 2:01:21 a.m.,29.9,29.9,28.5,28.5,
1,22,="",29/08/2020 2:31:21 a.m.,29.9,29.9,28.6,28.6,
1,23,="",29/08/2020 3:01:20 a.m.,29.9,29.85,28.6,28.6,
1,24,="",29/08/2020 3:31:20 a.m.,29.9,29.85,28.6,28.6,
1,25,="",29/08/2020 4:01:20 a.m.,29.9,29.9,28.6,28.6,
1,26,="",29/08/2020 4:31:19 a.m.,29.95,29.95,28.6,28.6,
1,27,="",29/08/2020 5:01:19 a.m.,29.95,29.9,28.6,28.6,
1,28,="",29/08/2020 5:31:18 a.m.,29.95,29.85,28.6,28.6,
1,29,="",29/08/2020 6:01:18 a.m.,29.95,29.95,28.6,28.6,
1,30,="",29/08/2020 6:31:17 a.m.,29.9,29.95,28.7,28.7,
1,31,="",29/08/2020 7:01:17 a.m.,29.95,29.95,28.8,28.8,
1,32,="",29/08/2020 7:31:16 a.m.,29.95,29.9,28.7,28.7,
1,33,="",29/08/2020 8:01:16 a.m.,29.95,29.95,28.8,28.8,
1,34,="",29/08/2020 8:31:16 a.m.,29.95,29.95,28.8,28.8,
1,35,="",29/08/2020 9:01:15 a.m.,29.95,29.95,28.8,28.8,
1,36,="",29/08/2020 9:31:15 a.m.,29.95,29.95,29,29.1,
1,37,="",29/08/2020 10:01:14 a.m.,29.95,29.95,29,29,


No background information available.


Well,Repeat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,
A01,PlateRepeat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,
A01,MeasA:Result,38813,35352,33808,32088,31235,29665,28883,27858,27051,26441,25689,25302,24625,24191,23753,23387,23026,22781,22375,22113,21383,21502,21118,20872,20705,20770,20446,20233,19786,19939,19813,19465,19370,19241,19115,19228,18688,
A01,MeasA:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A01,MeasA:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A01,MeasB:Result,9910,10116,10999,12012,12617,13516,13948,14505,14815,15329,15785,16207,16298,16615,16804,16904,17082,17147,17460,17406,17713,17946,17958,18082,18184,18211,17991,18513,18221,18448,18565,18665,18639,18834,18727,18848,18698,
A01,MeasB:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A01,MeasB:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A01,Calc1:Average within well,38813,
A01,Calc2:Average within well,9910.0,
A01,Calc3:Ratio,3.91654894046,
A02,PlateRepeat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,
A02,MeasA:Result,36947,35565,35054,35098,34784,35028,34989,35326,35171,35201,34904,35422,35307,35402,35062,35236,35212,35275,35083,35310,35198,35348,35010,35098,35352,35340,34972,35162,35274,34931,35290,35257,35116,35042,34840,34961,34929,
A02,MeasA:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A02,MeasA:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A02,MeasB:Result,9014,8102,8085,8154,8094,8144,8130,8100,7980,8109,8203,8294,8225,8196,8184,8207,8197,8024,8247,8222,8188,8186,8055,8247,8151,8231,8117,8207,8234,8143,8220,8106,8140,8237,8152,8104,8183,
A02,MeasB:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A02,MeasB:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A02,Calc1:Average within well,36947,
A02,Calc2:Average within well,9014.0,
A02,Calc3:Ratio,4.09884623918,
A03,PlateRepeat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,
A03,MeasA:Result,37974,34221,32092,30643,29236,27939,26849,25875,25323,24228,23840,23175,22588,22287,21821,21373,20865,20752,20730,20295,19746,19617,19256,19153,18935,19016,18651,18550,18528,18244,18344,17947,17992,17787,17644,17714,17575,
A03,MeasA:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A03,MeasA:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A03,MeasB:Result,9884,10134,11081,11990,12777,13753,14218,14699,15079,15616,15960,16184,16635,17039,17079,17181,17403,17641,17660,18084,18129,18440,18392,18393,18451,18576,18643,18808,18880,18677,19010,18996,19014,19052,19040,19017,19208,
A03,MeasB:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A03,MeasB:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A03,Calc1:Average within well,37974,
A03,Calc2:Average within well,9884.0,
A03,Calc3:Ratio,3.84196681505,
A04,PlateRepeat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,
A04,MeasA:Result,36859,35218,35106,34861,35138,35255,34820,35067,34767,35187,34906,35053,35121,34955,35147,34962,35130,34786,35019,35102,35282,35171,34655,35214,34927,35090,35226,35278,34573,35063,34990,34985,34718,34806,34653,34853,34693,
A04,MeasA:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A04,MeasA:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A04,MeasB:Result,9015,8152,8062,8032,8104,8101,8005,8009,8139,8178,8156,8207,8056,8185,8162,8334,8136,8130,8063,8050,8144,7975,8143,8111,8012,8051,8211,8106,8279,8085,7968,8044,8095,8109,8185,8163,8194,
A04,MeasB:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
